Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0010724,1.5417E-05,0.0049666,0,0,0,1.6975,0.0022318,1.3159E-07,5.5299E-06,0.0014304,4.7357E-07,0.0030847,0,0,0,0,0,0,package://kubot26_pkgs/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/base_link.STL,,Base_link-1,좌표계0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_Hip_pitch,4.5899E-05,0.00015259,-0.052562,0,0,0,0.11845,4.4672E-05,-1.9563E-09,1.0521E-06,6.0055E-05,1.0605E-08,3.2024E-05,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Hip_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Hip_pitch.STL,,hiproll-4;hiproll_m-3;MX-106AT-14,좌표계1,기준축1,L_Hip_pitch_joint,revolute,0.0084798,0.058519,-0.067335,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
L_Hip_roll,0.0095362,2.8384E-08,-0.036432,0,0,0,0.028344,1.0503E-05,-6.6165E-12,1.0377E-06,1.4482E-05,-8.417E-12,8.3204E-06,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Hip_roll.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Hip_roll.STL,,hipyaw_f-1;hipyaw_b-1;hipyaw_under-3,좌표계2,기준축2,L_Hip_roll_joint,revolute,0,0.0002,-0.0756,0,0,0,L_Hip_pitch,1,0,0,0,0,0,0,,,,,,,,
L_Hip_yaw,-0.019742,5.0279E-05,-0.026799,0,0,0,0.20491,6.4839E-05,-1.0628E-06,-1.3764E-06,8.716E-05,2.3606E-09,9.2674E-05,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Hip_yaw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Hip_yaw.STL,,MX-64AT-5;Knee_pitch-1;Knee_2-1;MX-106AT-11,좌표계3,기준축3,L_Hip_yaw_joint,revolute,0.0001,0,-0.0531,0,0,0,L_Hip_roll,0,0,1,0,0,0,0,,,,,,,,
L_Knee_pitch,1.6376E-15,0.0001,-0.069133,0,0,0,0.014964,3.0159E-05,2.8574E-24,2.7056E-21,3.1269E-05,7.5495E-23,1.1197E-06,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Knee_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Knee_pitch.STL,,calf-6;calf-5,좌표계4,기준축4,L_Knee_pitch_joint,revolute,0.0005,0,-0.0515,0,0,0,L_Hip_yaw,0,1,0,0,0,0,0,,,,,,,,
L_Ankle_pitch,-0.026062,5.2579E-05,0.015668,0,0,0,0.19005,7.6411E-05,-1.3143E-21,1.0679E-06,7.5765E-05,1.0612E-06,4.7792E-05,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Ankle_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Ankle_pitch.STL,,ankle_idler-2;HN05-i101-2;MX-106AT-13;pelvis_motor_con-5;pelvis_motor_con-6;MX-106AT-12,좌표계5,기준축5,L_Ankle_pitch_joint,revolute,0,0.0001,-0.142,0,0,0,L_Knee_pitch,0,1,0,0,0,0,0,,,,,,,,
L_Ankle_roll,0.0584,-1.1774E-15,-0.015505,0,0,0,0.062759,2.1165E-05,4.966E-22,9.5291E-22,1.5004E-05,3.0115E-21,7.6157E-06,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Ankle_roll.STL,0.2,0.4,0.69804,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Ankle_roll.STL,,ankle_back-6;ankle_back-7,좌표계6,기준축6,L_Ankle_roll_joint,revolute,-0.0562,0,0,0,0,0,L_Ankle_pitch,-1,0,0,0,0,0,0,,,,,,,,
L_Foot,0.0045906,0.0001,0.0031858,0,0,0,0.061528,2.8531E-05,-1.4111E-20,-6.5297E-07,0.00011256,-1.2593E-22,0.00014063,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Foot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/L_Foot.STL,,Foot-2,좌표계21,기준축3,L_Foot_joint,fixed,0.0557,-0.0001,-0.042,0,0,0,L_Ankle_roll,0,0,0,,,,,,,,,,,,
R_Hip_pitch,4.5899E-05,-4.7411E-05,-0.052562,0,0,0,0.11845,4.4672E-05,-1.9563E-09,1.0521E-06,6.0055E-05,1.0605E-08,3.2024E-05,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Hip_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Hip_pitch.STL,,hiproll_m-1;hiproll-2;MX-106AT-3,좌표계7,기준축7,R_Hip_pitch_joint,revolute,0.0084798,-0.058481,-0.067335,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
R_Hip_roll,0.0095362,2.8384E-08,-0.036432,0,0,0,0.028344,1.0503E-05,-6.6165E-12,1.0377E-06,1.4482E-05,-8.417E-12,8.3204E-06,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Hip_roll.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Hip_roll.STL,,hipyaw_f-2;hipyaw_b-2;hipyaw_under-1,좌표계8,기준축8,R_Hip_roll_joint,revolute,0,0,-0.0756,0,0,0,R_Hip_pitch,0,0,0,0,0,0,0,,,,,,,,
R_Hip_yaw,-0.019742,-5.0317E-05,-0.026802,0,0,0,0.20491,6.4839E-05,1.0629E-06,-1.3732E-06,8.716E-05,2.3606E-09,9.2674E-05,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Hip_yaw.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Hip_yaw.STL,,MX-64AT-8;Knee_pitch-4;Knee_2-5;MX-106AT-8,좌표계9,기준축9,R_Hip_yaw_joint,revolute,0.0001,0,-0.0531,0,0,0,R_Hip_roll,0,0,1,0,0,0,0,,,,,,,,
R_Knee_pitch,1.3878E-17,-0.0001,-0.069133,0,0,0,0.014964,3.0159E-05,8.3485E-23,-1.0853E-21,3.1269E-05,4.268E-20,1.1197E-06,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Knee_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Knee_pitch.STL,,calf-2;calf-1,좌표계10,기준축10,R_Knee_pitch_joint,revolute,0.0005,0,-0.0515,0,0,0,R_Hip_yaw,0,-1,0,0,0,0,0,,,,,,,,
R_Ankle_pitch,-0.026066,-5.5883E-05,0.015668,0,0,0,0.19005,7.6411E-05,-2.0895E-20,1.0646E-06,7.5765E-05,-1.0645E-06,4.7792E-05,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Ankle_pitch.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Ankle_pitch.STL,,ankle_idler-1;MX-106AT-9;HN05-i101-1;pelvis_motor_con-3;pelvis_motor_con-4;MX-106AT-10,좌표계11,기준축11,R_Ankle_pitch_joint,revolute,0,-0.0001,-0.142,0,0,0,R_Knee_pitch,0,-1,0,0,0,0,0,,,,,,,,
R_Ankle_roll,0.0584,1.3878E-17,-0.015505,0,0,0,0.062759,2.1165E-05,2.1675E-21,-7.4115E-21,1.5004E-05,-2.131E-21,7.6157E-06,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Ankle_roll.STL,0.2,0.4,0.69804,1,0,0,0,0,0,0,package://kubot26_pkgs/meshes/R_Ankle_roll.STL,,ankle_back-1;ankle_back-2,좌표계12,기준축12,R_Ankle_roll_joint,revolute,-0.0562,0,0,0,0,0,R_Ankle_pitch,-1,0,0,0,0,0,0,,,,,,,,
